County,TotalPop,IncomePerCap,Poverty,Id,%Poverty,cases,deaths,TotalCases,TotalDeaths,TotalCasesper100k,TotalDeathsper100k
"Arapahoe County, Colorado",626612,5690109,1446.1,84,0.23078077,5265499,126255,5265499,126255,52.65499,1.26255
"Archer County, Texas",8793,93829,26.7,85,0.303650631,62213,691,62213,691,0.62213,0.00691
"Archuleta County, Colorado",12592,123094,43.7,86,0.347045743,51521,32,51521,32,0.51521,0.00032
"Arecibo Municipio, Puerto Rico",89550,230031,1224.6,87,1.367504188,,,,,,
"Arenac County, Michigan",15238,113394,89.5,88,0.587347421,69174,2564,69174,2564,0.69174,0.02564
"Arkansas County, Arkansas",18352,195261,156.8,89,0.85440279,185804,3773,185804,3773,1.85804,0.03773
"Arlington County, Virginia",229534,3795628,447.6,90,0.19500379,1533946,43876,1533946,43876,15.33946,0.43876
"Armstrong County, Pennsylvania",66737,480354,255.5,91,0.382846097,387960,9524,387960,9524,3.8796,0.09524
"Armstrong County, Texas",1929,31219,7.5,92,0.388802488,12036,498,12036,498,0.12036,0.00498
"Aroostook County, Maine",68840,566083,428.9,93,0.623038931,72668,1944,72668,1944,0.72668,0.01944
"Arroyo Municipio, Puerto Rico",18504,30964,228.2,94,1.233246866,,,,,,
"Arthur County, Nebraska",421,21799,10.9,95,2.589073634,2029,4,2029,4,0.02029,0.00004
"Ascension Parish, Louisiana",119129,420528,186.9,96,0.156888751,,,,,,
"Ashe County, North Carolina",26833,135580,124.7,97,0.46472627,160431,2288,160431,2288,1.60431,0.02288
"Ashland County, Ohio",53299,269221,157.6,98,0.295690351,288822,4630,288822,4630,2.88822,0.0463
"Ashland County, Wisconsin",15779,159594,106,99,0.671778947,114194,1544,114194,1544,1.14194,0.01544
"Ashley County, Arkansas",20771,146817,134.6,100,0.648018872,178856,3174,178856,3174,1.78856,0.03174
"Ashtabula County, Ohio",98622,551549,494,101,0.500902436,483527,15495,483527,15495,4.83527,0.15495
"Asotin County, Washington",22259,156358,84.9,102,0.381418752,110976,2529,110976,2529,1.10976,0.02529
"Assumption Parish, Louisiana",22881,150432,97.2,103,0.424806608,,,,,,
"Atascosa County, Texas",48139,182004,118.2,104,0.24553896,417002,10607,417002,10607,4.17002,0.10607
"Atchison County, Kansas",16466,98784,76.7,105,0.465808332,155014,1282,155014,1282,1.55014,0.01282
"Atchison County, Missouri",5335,56802,23.2,106,0.434864105,31058,481,31058,481,0.31058,0.00481
"Athens County, Ohio",65563,310387,522.5,107,0.796943398,399144,1294,399144,1294,3.99144,0.01294
"Atkinson County, Georgia",8313,56649,89.2,108,1.073018164,134686,1660,134686,1660,1.34686,0.0166
"Atlantic County, New Jersey",272926,2124305,1162.1,109,0.425793072,2147379,81696,2147379,81696,21.47379,0.81696
"Atoka County, Oklahoma",13899,76136,73.8,110,0.530973451,156651,535,156651,535,1.56651,0.00535
"Attala County, Mississippi",18731,125223,131.2,111,0.700443116,264005,9230,264005,9230,2.64005,0.0923
"Audrain County, Missouri",25763,147990,122.3,112,0.474711796,237934,3973,237934,3973,2.37934,0.03973
"Audubon County, Iowa",5711,94877,33.3,113,0.583085274,47971,805,47971,805,0.47971,0.00805
"Auglaize County, Ohio",45778,312307,103.3,114,0.225654244,430503,6980,430503,6980,4.30503,0.0698
"Augusta County, Virginia",74390,386272,128,115,0.172066138,384037,3782,384037,3782,3.84037,0.03782
"Aurora County, South Dakota",2739,30872,6.2,116,0.226359985,52411,938,52411,938,0.52411,0.00938
"Austin County, Texas",29292,180463,78.6,117,0.268332651,163305,2495,163305,2495,1.63305,0.02495
"Autauga County, Alabama",55036,319058,174.7,118,0.317428592,645935,9042,645935,9042,6.45935,0.09042
"Avery County, North Carolina",17535,115230,73.8,119,0.420872541,172072,1336,172072,1336,1.72072,0.01336
"Avoyelles Parish, Louisiana",41095,189293,206.6,120,0.502737559,,,,,,
"Añasco Municipio, Puerto Rico",27892,65150,326,121,1.168793919,,,,,,
"Baca County, Colorado",3581,45659,37.6,122,1.049986037,22179,132,22179,132,0.22179,0.00132
"Bacon County, Georgia",11279,56965,69.4,123,0.615302775,183448,4201,183448,4201,1.83448,0.04201
"Bailey County, Texas",7098,18662,22.3,124,0.314173006,95935,1712,95935,1712,0.95935,0.01712
"Baker County, Florida",27537,90178,69.4,125,0.252024549,406208,5574,406208,5574,4.06208,0.05574
